Date,Venue/Event,Audience
2023-12-13,Loeb's house (Beitar Illit),12
2024-02-07,Olive Tree Hotel,20
2024-03-17,Afula stage show,50
2024-03-18,Nakhal Tsalmon St (Modi'in),50
2024-03-24,Heichal Shlomo (Jerusalem),40
2024-03-25,Ze'ev Jabotinsky St (Jerusalem),15
2024-05-23,Home for special child (Beitar),15
2024-06-13,Yad Binyamin,9
2024-07-03,Sheva Berachos,20
2024-07-15,Bar Mitzvah celebration,30
2024-07-28,Landsman sheva berachos,80
2024-10-17,Shem Tov family sukkah,20
2024-09-19,Yitzchak Elisar St (Jerusalem),10
2025-03-29,Kiddush for Yael Tehila,150
2025-04-03,30th wedding anniversary,25
2025-04-15,80th birthday for Yoily Weiss,15
2025-04-17,Mrs Twersky's home gathering,30
2025-07-09,Thaler family Bat Mitzvah,25
2025-07-27,Bet Elazraki Children's home,60
2025-08-14,Camp Adirim,300
2025-08-21,Lone Soldiers Center,18
2025-10-08,Heller's house sukkah,30
2025-10-16,Bar Mitzvah (Beit Shemesh),50
2025-11-09,Newman family gathering,30
2025-11-13,Kfar Shaul Mental Health Center,40
2025-11-24,Zichron Menachem event,25
2025-12-03,RCCS cancer center,50
2025-12-04,Richard Norman's home,7
2025-12-14,Stempel family event,40
2025-12-16,Tzila Salamon gathering,50
2025-12-17,RCCS conference,15
2025-12-18,Zelda Goldfield event,80
2025-12-19,Rabbi Wechsler's gathering,60
2025-12-21,Akiva Naiman's home,25
2026-01-11,Sheva berachos (Beitar),35
2026-01-14,Vitor's podcast,1
2026-01-15,99th birthday,200
2026-01-29,Bar Mitzvah,100
2026-02-17,David Bratspis tour company,15
,Jerusalem theater,55
TOTAL,,2322
